model,epoch,train_loss,val_CER,val_SER,val_LER,new_best_val_SER,best_checkpoint_epoch,timestamp
CNNT,1,2.602427,35.0541,51.5837,93.8414,1,0,2026-05-30 04:00:39
CNNT,2,2.144253,31.8784,48.0640,85.8381,1,0,2026-05-30 04:34:54
CNNT,3,1.657253,28.3744,43.8833,81.0091,1,0,2026-05-30 05:08:31
CNNT,4,1.275288,24.6299,38.8812,75.5046,1,0,2026-05-30 05:42:32
CNNT,5,1.037055,23.3694,37.2043,76.7483,1,0,2026-05-30 06:15:55
CNNT,6,0.856443,20.0918,31.9477,68.8367,1,0,2026-05-30 06:49:41
CNNT,7,0.716653,17.3476,27.6538,61.7382,1,0,2026-05-30 07:26:57
CNNT,8,0.609684,14.7637,23.4936,53.8913,1,0,2026-05-30 08:03:53
CNNT,9,0.527817,12.9903,20.7468,48.5746,1,0,2026-05-30 08:40:01
CNNT,10,0.457570,11.5198,18.3211,43.4737,1,0,2026-05-30 09:18:07
CNNT,11,0.407176,10.5387,16.6416,39.5231,1,0,2026-05-30 09:53:21
CNNT,12,0.368745,9.7694,15.3102,36.1626,1,0,2026-05-30 10:17:26
CNNT,13,0.333631,8.9986,14.0976,33.5794,1,0,2026-05-30 10:41:33
CNNT,14,0.307341,8.3792,13.1140,31.2154,1,0,2026-05-30 11:09:28
CNNT,15,0.283701,8.0822,12.6095,30.2189,1,0,2026-05-30 11:33:35
CNNT,16,0.262751,7.6298,11.9475,28.9486,1,0,2026-05-30 11:59:39
CNNT,17,0.245719,7.3893,11.4774,27.6756,1,0,2026-05-30 12:23:47
CNNT,18,0.232652,7.0136,10.8887,25.9132,1,0,2026-05-30 12:51:52
CNNT,19,0.220250,6.5765,10.2066,24.1907,1,0,2026-05-30 13:16:01
CNNT,20,0.209224,6.5003,10.0625,23.9142,1,0,2026-05-30 13:44:08
CNNT,21,0.202137,6.0766,9.3811,21.9778,1,0,2026-05-30 14:08:19
CNNT,22,0.197199,5.9852,9.2065,21.5225,1,0,2026-05-30 14:39:55
CNNT,23,0.187386,5.6268,8.6919,20.1209,1,0,2026-05-30 15:04:35
CNNT,24,0.181239,5.5783,8.5886,19.9497,1,0,2026-05-30 15:34:34
CNNT,25,0.173824,5.4792,8.4118,19.6391,1,0,2026-05-30 16:08:15
CNNT,26,0.165448,5.1780,7.9831,18.4713,1,0,2026-05-30 16:44:08
CNNT,27,0.161159,5.1316,7.8550,18.0919,1,0,2026-05-30 17:20:00
CNNT,28,0.155046,5.0252,7.7112,17.6878,1,0,2026-05-30 17:57:21
CNNT,29,0.150196,4.9609,7.6217,17.4383,1,0,2026-05-30 18:34:16
CNNT,30,0.148041,4.8955,7.5167,17.2617,1,0,2026-05-30 19:11:48
CNNT,31,0.141383,4.7381,7.3431,17.0481,1,0,2026-05-30 19:47:18
CNNT,32,0.139784,4.9460,7.5603,17.3277,0,0,2026-05-30 20:21:43
CNNT,33,0.137810,4.6371,7.1517,16.4989,1,0,2026-05-30 20:53:08
CNNT,34,0.138282,4.4902,6.9447,15.9657,1,0,2026-05-30 21:17:21
